iter	Passed	Remaining
663	7839	3967
664	7850	3954
665	7861	3942
666	7871	3929
667	7882	3917
668	7892	3904
669	7903	3892
670	7918	3882
671	7942	3876
672	7955	3865
673	7966	3853
674	7979	3841
675	7992	3830
676	8010	3821
677	8022	3810
678	8038	3800
679	8052	3789
680	8066	3778
681	8087	3771
682	8102	3760
683	8121	3752
684	8133	3740
685	8147	3729
686	8159	3717
687	8173	3706
688	8187	3695
689	8198	3683
690	8211	3671
691	8223	3660
692	8236	3648
693	8254	3639
694	8272	3630
695	8287	3619
696	8300	3608
697	8320	3600
698	8334	3588
699	8352	3579
700	8369	3569
701	8388	3560
702	8403	3550
703	8416	3538
704	8433	3528
705	8446	3517
706	8464	3507
707	8481	3498
708	8498	3488
709	8511	3476
710	8529	3466
711	8547	3457
712	8559	3445
713	8570	3432
714	8582	3420
715	8593	3408
716	8603	3395
717	8614	3383
718	8625	3371
719	8642	3360
720	8654	3349
721	8665	3336
722	8677	3324
723	8692	3313
724	8706	3302
725	8719	3290
726	8730	3278
727	8741	3265
728	8751	3253
729	8766	3242
730	8777	3230
731	8788	3217
732	8798	3204
733	8808	3192
734	8819	3179
735	8830	3167
736	8840	3154
737	8851	3142
738	8861	3129
739	8874	3118
740	8890	3107
741	8901	3095
742	8911	3082
743	8925	3071
744	8936	3058
745	8947	3046
746	8958	3034
747	8968	3021
748	8979	3009
749	8989	2996
750	8999	2983
751	9010	2971
752	9021	2959
753	9032	2946
754	9042	2934
755	9053	2922
756	9064	2909
757	9074	2897
758	9085	2884
759	9096	2872
760	9107	2860
761	9117	2847
762	9128	2835
763	9138	2822
764	9148	2810
765	9160	2798
766	9170	2785
767	9180	2773
768	9191	2760
769	9201	2748
770	9215	2737
771	9228	2725
772	9240	2713
773	9250	2701
774	9260	2688
775	9272	2676
776	9285	2664
777	9298	2653
778	9309	2641
779	9325	2630
780	9342	2619
781	9357	2608
782	9376	2598
783	9395	2588
784	9413	2578
785	9427	2566
786	9443	2555
787	9459	2544
788	9474	2533
789	9488	2522
790	9507	2512
791	9522	2500
792	9537	2489
793	9548	2477
794	9559	2464
795	9569	2452
796	9580	2440
797	9590	2427
798	9601	2415
799	9612	2403
800	9622	2390
801	9633	2378
802	9644	2365
803	9655	2353
804	9665	2341
805	9675	2328
806	9685	2316
807	9696	2304
808	9707	2291
809	9717	2279
810	9727	2267
811	9738	2254
812	9748	2242
813	9759	2230
814	9769	2217
815	9780	2205
816	9790	2193
817	9801	2180
818	9813	2168
819	9824	2156
820	9835	2144
821	9846	2132
822	9858	2120
823	9869	2108
824	9880	2095
825	9891	2083
826	9901	2071
827	9913	2059
828	9924	2047
829	9935	2034
830	9945	2022
831	9956	2010
832	9967	1998
833	9977	1985
834	9988	1973
835	9998	1961
836	10009	1949
837	10019	1936
838	10030	1924
839	10041	1912
840	10052	1900
841	10062	1888
842	10073	1875
843	10083	1863
844	10093	1851
845	10104	1839
846	10114	1827
847	10125	1814
848	10135	1802
849	10147	1790
850	10158	1778
851	10168	1766
852	10178	1754
853	10189	1741
854	10199	1729
855	10210	1717
856	10220	1705
857	10231	1693
858	10241	1681
859	10251	1668
860	10262	1656
861	10272	1644
862	10282	1632
863	10293	1620
864	10303	1608
865	10314	1596
866	10326	1584
867	10336	1571
868	10346	1559
869	10357	1547
870	10368	1535
871	10378	1523
872	10389	1511
873	10400	1499
874	10411	1487
875	10421	1475
876	10432	1463
877	10443	1451
878	10453	1439
879	10464	1426
880	10475	1414
881	10485	1402
882	10495	1390
883	10506	1378
884	10516	1366
885	10527	1354
886	10537	1342
887	10548	1330
888	10559	1318
889	10569	1306
890	10580	1294
891	10590	1282
892	10601	1270
893	10612	1258
894	10626	1246
895	10640	1235
896	10650	1222
897	10661	1210
898	10672	1199
899	10684	1187
900	10694	1175
901	10705	1163
902	10715	1151
903	10726	1139
904	10737	1127
905	10747	1115
906	10758	1103
907	10768	1091
908	10779	1079
909	10791	1067
910	10802	1055
911	10814	1043
912	10826	1031
913	10838	1019
914	10850	1007
915	10863	996
916	10875	984
917	10886	972
918	10898	960
919	10909	948
920	10920	936
921	10933	924
922	10951	913
923	10969	902
924	10984	890
925	10999	879
926	11017	867
927	11030	855
928	11048	844
929	11065	832
930	11081	821
931	11094	809
932	11106	797
933	11122	785
934	11135	774
935	11146	762
936	11157	750
937	11169	738
938	11179	726
939	11189	714
940	11205	702
941	11216	690
942	11228	678
943	11240	666
944	11250	654
945	11261	642
946	11274	630
947	11285	619
948	11297	607
949	11308	595
950	11320	583
951	11330	571
952	11342	559
953	11354	547
954	11365	535
955	11376	523
956	11392	511
957	11403	499
958	11419	488
959	11431	476
960	11450	464
961	11464	452
962	11478	441
963	11495	429
964	11509	417
965	11523	405
966	11537	393
967	11550	381
968	11567	370
969	11583	358
970	11600	346
971	11625	334
972	11664	323
973	11704	312
974	11731	300
975	11756	289
976	11776	277
977	11794	265
978	11807	253
979	11838	241
980	11860	229
981	11883	217
982	11898	205
983	11915	193
984	11932	181
985	11945	169
986	11966	157
987	11980	145
988	11994	133
989	12009	121
990	12023	109
991	12036	97
992	12050	84
993	12065	72
994	12082	60
995	12099	48
996	12132	36
997	12149	24
998	12169	12
999	12184	0
